dateYM,Mkt_RF,SMB,HML,RMW,CMA,RF,date
196307,-0.0039000000000000003,-0.0044,-0.0089,0.0068000000000000005,-0.0123,0.0027,19630731.0
196308,0.0507,-0.0075,0.0168,0.0036,-0.0034000000000000002,0.0025,19630830.0
196309,-0.015700000000000002,-0.0055000000000000005,0.0008,-0.0070999999999999995,0.0029,0.0027,19630930.0
196310,0.0253,-0.0137,-0.0014000000000000002,0.027999999999999997,-0.0202,0.0029,19631031.0
196311,-0.0085,-0.0089,0.0181,-0.0051,0.0231,0.0027,19631129.0
196312,0.0183,-0.0207,-0.0008,0.0003,-0.0004,0.0029,19631231.0
196401,0.022400000000000003,0.0011,0.0147,0.0017000000000000001,0.0151,0.003,19640131.0
196402,0.0154,0.003,0.0274,-0.0005,0.009000000000000001,0.0026,19640228.0
196403,0.0141,0.013600000000000001,0.0336,-0.022099999999999998,0.0319,0.0031,19640331.0
196404,0.001,-0.0159,-0.0058,-0.0127,-0.0104,0.0029,19640430.0
196405,0.014199999999999999,-0.0064,0.0182,-0.0016,0.0014000000000000002,0.0026,19640528.0
196406,0.0127,0.0031,0.0063,-0.0028000000000000004,-0.0015,0.003,19640630.0
196407,0.0174,0.004699999999999999,0.0075,0.0004,0.0194,0.003,19640731.0
196408,-0.0144,0.0042,0.0008,0.0015,0.0033,0.0028000000000000004,19640831.0
196409,0.0269,-0.0033,0.017,-0.0054,0.0060999999999999995,0.0028000000000000004,19640930.0
196410,0.0059,0.0091,0.011699999999999999,-0.0038,0.0043,0.0029,19641030.0
196411,0.0,-0.0015,-0.0196,0.0062,-0.0026,0.0029,19641130.0
196412,0.0003,-0.006999999999999999,-0.0248,0.0104,-0.0148,0.0031,19641231.0
196501,0.0354,0.024399999999999998,0.0012,0.0089,0.001,0.0028000000000000004,19650129.0
196502,0.0044,0.0329,0.0011,0.002,-0.006500000000000001,0.003,19650226.0
196503,-0.0134,0.021099999999999997,0.0103,-0.0036,0.0072,0.0036,19650331.0
196504,0.0311,0.0111,0.0066,0.0040999999999999995,-0.0227,0.0031,19650430.0
196505,-0.0077,0.0013,-0.0161,-0.004,0.005,0.0031,19650528.0
196506,-0.055099999999999996,-0.042800000000000005,0.0059,0.0021,0.0037,0.0034999999999999996,19650630.0
196507,0.0143,0.010700000000000001,0.021400000000000002,-0.0137,0.0003,0.0031,19650730.0
196508,0.0273,0.0271,-0.0102,0.019,-0.0074,0.0033,19650831.0
196509,0.0286,0.0062,-0.0012,-0.0089,0.008,0.0031,19650930.0
196510,0.026000000000000002,0.0347,0.015700000000000002,0.011699999999999999,-0.006500000000000001,0.0031,19651029.0
196511,-0.0003,0.0518,0.001,-0.0101,-0.009399999999999999,0.0034999999999999996,19651130.0
196512,0.0101,0.026600000000000002,0.0202,-0.011399999999999999,-0.0053,0.0033,19651231.0
196601,0.0072,0.0467,0.0353,-0.0282,-0.0011,0.0038,19660131.0
196602,-0.0121,0.0471,0.0029,-0.0017000000000000001,-0.0149,0.0034999999999999996,19660228.0
196603,-0.025099999999999997,0.0032,-0.02,0.013000000000000001,0.0006,0.0038,19660331.0
196604,0.021400000000000002,0.0334,-0.004699999999999999,0.0039000000000000003,-0.0095,0.0034000000000000002,19660429.0
